T,Flux,E
5435.51256,13.920,0.003
5435.52949,13.921,0.003
5435.54204,13.919,0.003
5435.55869,13.920,0.003
5435.59618,13.923,0.003
5435.61194,13.918,0.003
5435.62956,13.926,0.003
5435.64973,13.923,0.003
5435.66543,13.918,0.003
5435.67783,13.923,0.003
5435.69037,13.921,0.003
5435.70436,13.921,0.003
5436.47151,13.920,0.003
5436.48418,13.923,0.003
5436.49770,13.924,0.003
5436.53859,13.922,0.003
5436.58314,13.922,0.003
5436.64164,13.918,0.003
5436.65567,13.919,0.003
5436.69743,13.924,0.003
5437.48030,13.919,0.003
5437.49361,13.918,0.003
5437.53871,13.918,0.003
5437.57458,13.919,0.003
5437.61771,13.924,0.003
5437.66973,13.926,0.003
5438.49287,13.927,0.003
5438.50654,13.923,0.003
5438.51961,13.925,0.003
5438.53233,13.922,0.003
5438.56886,13.922,0.003
5438.58490,13.921,0.003
5438.63379,13.923,0.003
5438.64624,13.920,0.003
5438.65934,13.921,0.003
5438.67178,13.922,0.003
5438.68436,13.926,0.003
5438.69695,13.922,0.003
5439.48283,13.920,0.003
5439.51638,13.925,0.003
5439.53375,13.921,0.003
5439.55022,13.921,0.003
5439.56271,13.918,0.003
5439.57516,13.924,0.003
5439.58763,13.923,0.003
5439.60016,13.922,0.003
5439.61294,13.923,0.003
5439.62565,13.925,0.003
5439.63825,13.922,0.003
5439.65094,13.920,0.003
5439.67146,13.922,0.003
5439.68400,13.925,0.003
5443.49129,13.922,0.003
5443.50543,13.921,0.003
5443.51795,13.924,0.003
5443.53079,13.925,0.003
5443.54336,13.931,0.003
5443.56407,13.933,0.003
5443.57661,13.931,0.003
5443.58940,13.935,0.003
5443.60190,13.931,0.003
5443.61437,13.929,0.003
5443.62711,13.920,0.003
5443.64206,13.917,0.003
5443.65683,13.926,0.003
5443.67076,13.918,0.003
5443.68333,13.921,0.003
5444.47802,13.922,0.003
5444.49895,13.924,0.003
5444.51438,13.924,0.003
5444.52871,13.922,0.003
5444.55043,13.918,0.003
5444.56305,13.924,0.003
5444.58532,13.918,0.003
5444.60208,13.921,0.003
5444.61470,13.921,0.003
5444.62736,13.923,0.003
5444.64019,13.920,0.003
5444.65270,13.920,0.003
5444.66543,13.921,0.003
5445.47363,13.918,0.003
5445.49327,13.914,0.003
5445.53123,13.920,0.003
5445.57151,13.918,0.003
5445.62253,13.918,0.003
5445.63519,13.926,0.003
5445.64765,13.931,0.003
5445.66186,13.929,0.003
5445.67424,13.929,0.003
5446.47808,13.920,0.003
5446.49627,13.921,0.003
5446.50969,13.919,0.003
5446.52918,13.921,0.003
5446.54174,13.919,0.003
5446.55550,13.919,0.003
5446.56966,13.923,0.003
5446.58282,13.920,0.003
5446.59534,13.921,0.003
5446.60836,13.920,0.003
5446.62084,13.923,0.003
5446.63445,13.922,0.003
5446.64819,13.921,0.003
5446.66080,13.924,0.003
5447.46836,13.919,0.003
5447.48179,13.920,0.003
5447.49665,13.919,0.003
5447.51286,13.920,0.003
5447.52530,13.917,0.003
5447.53937,13.914,0.003
5447.55201,13.921,0.003
5447.56449,13.921,0.003
5447.60331,13.922,0.003
5447.61732,13.920,0.003
5447.62991,13.921,0.003
5448.47057,13.927,0.003
5448.48392,13.919,0.003
