Point Number,X Coords,Y Coords,Degree,Clustering Coefficient
172,-68.42049975053598,-15.253047619047615,3,0.6666666666666666
173,-68.11961685053598,-15.251695652173913,10,0.3333333333333333
174,-67.818733950536,-15.256863636363637,2,1.0
175,-67.51785105053602,-15.253649999999999,3,0.6666666666666666
176,-67.21696815053602,-15.25268181818182,6,0.4666666666666667
177,-66.91608525053604,-15.2540625,3,1.0
178,-66.61520235053607,-15.253823529411765,4,0.8333333333333334
179,-66.31431945053606,-15.254095238095239,3,1.0
180,-66.01343655053608,-15.251190476190475,13,0.3076923076923077
181,-65.71255365053611,-15.25311111111111,2,1.0
182,-65.4116707505361,-15.25194117647059,5,0.5
183,-65.11078785053613,-15.253166666666667,2,1.0
184,-64.80990495053615,-15.251368421052636,5,0.5
185,-64.50902205053615,-15.2521875,3,0.6666666666666666
186,-64.20813915053617,-15.253458333333334,2,1.0
187,-63.907256250536186,-15.250473684210528,20,0.2789473684210526
188,-63.6063733505362,-15.250888888888888,7,0.5238095238095238
189,-63.30549045053621,-15.253190476190479,2,1.0
190,-63.00460755053623,-15.25230769230769,4,0.6666666666666666
191,-62.703724650536245,-15.252,6,0.6
192,-62.402841750536254,-15.254526315789475,2,1.0
193,-62.10195885053627,-15.2519375,5,0.7
194,-61.80107595053629,-15.250666666666667,15,0.3333333333333333
195,-61.500193050536296,-15.253444444444446,2,1.0
196,-61.19931015053631,-15.252454545454547,5,0.5
197,-60.89842725053633,-15.253944444444446,2,1.0
198,-60.59754435053634,-15.252071428571426,4,0.6666666666666666
199,-60.296661450536355,-15.250888888888893,9,0.5833333333333334
200,-59.99577855053637,-15.250933333333334,7,0.7619047619047619
201,-59.69489565053638,-15.252277777777778,2,1.0
202,-59.3940127505364,-15.250944444444444,14,0.4175824175824176
203,-59.093129850536414,-15.252399999999998,6,0.9333333333333333
204,-58.79224695053642,-15.252374999999999,8,0.75
205,-58.49136405053644,-15.252631578947366,7,0.6666666666666666
206,-58.190481150536456,-15.253374999999998,2,1.0
207,-57.889598250536466,-15.252352941176472,5,0.7
208,-57.58871535053648,-15.252111111111113,9,0.6111111111111112
209,-57.2878324505365,-15.2525,2,1.0
210,-56.98694955053651,-15.2518,9,0.4166666666666667
211,-56.686066650536524,-15.253800000000002,2,1.0
212,-56.38518375053654,-15.252649999999997,3,0.6666666666666666
213,-56.08430085053656,-15.251923076923077,6,0.4666666666666667
214,-55.78341795053657,-15.255,3,1.0
215,-55.48253505053658,-15.254526315789475,3,1.0
216,-55.1816521505366,-15.250647058823532,22,0.2813852813852814
217,-54.88076925053661,-15.251533333333334,4,0.8333333333333334
218,-54.579886350536626,-15.252999999999998,3,1.0
219,-54.27900345053664,-15.251904761904765,4,0.8333333333333334
220,-53.97812055053665,-15.25075,11,0.32727272727272727
221,-53.67723765053667,-15.252352941176472,5,0.8
222,-53.376354750536684,-15.253076923076922,3,1.0
223,-53.075471850536694,-15.2522,5,0.8
224,-52.77458895053671,-15.251809523809523,4,1.0
225,-52.47370605053673,-15.250500000000002,12,0.4393939393939394
226,-52.172823150536736,-15.250142857142858,21,0.3
227,-51.87194025053675,-15.252733333333332,5,1.0
228,-51.57105735053677,-15.252666666666668,7,0.6666666666666666
229,-51.27017445053678,-15.254642857142857,2,1.0
230,-50.969291550536795,-15.252650000000003,5,0.7
231,-50.66840865053681,-15.252214285714285,8,0.6785714285714286
232,-50.36752575053682,-15.253049999999998,4,1.0
233,-50.06664285053684,-15.2524,5,0.9
234,-49.765759950536854,-15.251736842105265,10,0.4888888888888889
235,-49.46487705053686,-15.25333333333333,2,1.0
236,-49.16399415053688,-15.2520625,7,0.5714285714285714
237,-48.863111250536896,-15.253785714285714,4,1.0
238,-48.562228350536905,-15.253125,4,1.0
239,-48.26134545053692,-15.25183333333333,7,0.5714285714285714
240,-47.96046255053694,-15.2538125,2,1.0
241,-47.65957965053695,-15.245857142857144,62,0.08566895822316235
242,-47.358696750536964,-15.254066666666665,2,1.0
243,-47.05781385053698,-15.251105263157893,3,0.6666666666666666
244,-46.75693095053699,-15.250315789473685,6,0.6
245,-46.45604805053701,-15.251666666666665,4,1.0
246,-46.15516515053702,-15.25133333333333,4,1.0
247,-45.85428225053703,-15.249764705882352,11,0.45454545454545453
248,-45.55339935053705,-15.250523809523811,5,0.9
249,-45.252516450537065,-15.251166666666668,7,0.7142857142857143
250,-44.951633550537075,-15.252052631578946,4,1.0
251,-44.65075065053709,-15.252533333333336,5,0.9
252,-44.34986775053711,-15.251750000000001,7,0.6666666666666666
253,-44.04898485053712,-15.24978947368421,12,0.4393939393939394
254,-43.748101950537134,-15.251578947368422,5,0.9
255,-43.44721905053715,-15.251999999999999,5,0.9
256,-43.14633615053716,-15.252111111111109,4,1.0
257,-42.845453250537176,-15.249217391304347,7,0.6666666666666666
258,-42.54457035053719,-15.24736842105263,30,0.1839080459770115
259,-42.2436874505372,-15.251263157894737,4,1.0
260,-41.94280455053722,-15.25225,4,1.0
261,-41.641921650537235,-15.253,4,1.0
262,-41.341038750537244,-15.250649999999998,7,0.47619047619047616
263,-41.04015585053726,-15.252150000000004,3,1.0
264,-40.73927295053728,-15.2525625,3,1.0
265,-40.438390050537286,-15.2504,13,0.28205128205128205
266,-40.1375071505373,-15.253300000000001,3,1.0
267,-39.83662425053732,-15.253899999999998,3,1.0
268,-39.53574135053733,-15.25242857142857,4,0.6666666666666666
269,-39.234858450537345,-15.251999999999997,5,0.5
270,-38.93397555053736,-15.253166666666665,2,1.0
271,-38.63309265053737,-15.25115,6,0.4666666666666667
272,-38.33220975053739,-15.252230769230769,2,1.0
273,-38.031326850537404,-15.25053846153846,12,0.3484848484848485
274,-37.73044395053741,-15.2525,4,1.0
